ts,task,config,model,rep,passed,steps,tokens,wall_s,log
1788194458,write-todo-cli,nodigest,deepseek,2,1,4,10507,13.6,write-todo-cli-nodigest-deepseek-r2.jsonl
1788194472,write-todo-cli,nodigest,deepseek,3,1,5,12071,13.6,write-todo-cli-nodigest-deepseek-r3.jsonl
1788194486,fix-sort,nodigest,deepseek,1,1,4,9250,11.2,fix-sort-nodigest-deepseek-r1.jsonl
1788194497,fix-sort,nodigest,deepseek,2,1,5,11362,12.1,fix-sort-nodigest-deepseek-r2.jsonl
1788194509,fix-sort,nodigest,deepseek,3,1,4,9893,11.2,fix-sort-nodigest-deepseek-r3.jsonl
1788194520,add-logging,nodigest,deepseek,1,1,5,9559,8.2,add-logging-nodigest-deepseek-r1.jsonl
1788194528,add-logging,nodigest,deepseek,2,1,4,8619,9.2,add-logging-nodigest-deepseek-r2.jsonl
1788194538,add-logging,nodigest,deepseek,3,1,5,10148,10.4,add-logging-nodigest-deepseek-r3.jsonl
1788194548,extract-config,full,deepseek,1,1,6,18673,14.5,extract-config-full-deepseek-r1.jsonl
1788194563,extract-config,full,deepseek,2,1,7,19529,12.0,extract-config-full-deepseek-r2.jsonl
1788194575,extract-config,full,deepseek,3,1,6,16982,13.8,extract-config-full-deepseek-r3.jsonl
1788194589,fix-test-suite,full,deepseek,1,1,5,11774,7.6,fix-test-suite-full-deepseek-r1.jsonl
1788194596,fix-test-suite,full,deepseek,2,1,5,13667,9.5,fix-test-suite-full-deepseek-r2.jsonl
1788194606,fix-test-suite,full,deepseek,3,1,5,12787,8.1,fix-test-suite-full-deepseek-r3.jsonl
1788194614,add-middleware,full,deepseek,1,1,7,28003,22.7,add-middleware-full-deepseek-r1.jsonl
1788194637,add-middleware,full,deepseek,2,1,4,14510,18.0,add-middleware-full-deepseek-r2.jsonl
1788194655,add-middleware,full,deepseek,3,1,5,20069,27.5,add-middleware-full-deepseek-r3.jsonl
1788194682,log-archaeology,full,deepseek,1,1,5,12228,10.6,log-archaeology-full-deepseek-r1.jsonl
1788194693,log-archaeology,full,deepseek,2,1,5,12571,9.7,log-archaeology-full-deepseek-r2.jsonl
1788194703,log-archaeology,full,deepseek,3,1,5,12628,11.5,log-archaeology-full-deepseek-r3.jsonl
1788194714,extract-config,mini,deepseek,1,1,7,15715,18.4,extract-config-mini-deepseek-r1.jsonl
1788194733,extract-config,mini,deepseek,2,1,7,14680,14.5,extract-config-mini-deepseek-r2.jsonl
1788194747,extract-config,mini,deepseek,3,1,6,14114,18.2,extract-config-mini-deepseek-r3.jsonl
1788194766,fix-test-suite,mini,deepseek,1,1,5,8082,8.4,fix-test-suite-mini-deepseek-r1.jsonl
1788194774,fix-test-suite,mini,deepseek,2,1,5,7529,8.7,fix-test-suite-mini-deepseek-r2.jsonl
1788194783,fix-test-suite,mini,deepseek,3,1,6,10060,9.4,fix-test-suite-mini-deepseek-r3.jsonl
1788194792,add-middleware,mini,deepseek,1,1,4,8136,12.6,add-middleware-mini-deepseek-r1.jsonl
1788194805,add-middleware,mini,deepseek,2,1,4,12803,25.0,add-middleware-mini-deepseek-r2.jsonl
1788194830,add-middleware,mini,deepseek,3,1,4,9960,17.2,add-middleware-mini-deepseek-r3.jsonl
1788194847,log-archaeology,mini,deepseek,1,1,5,7818,9.7,log-archaeology-mini-deepseek-r1.jsonl
1788194857,log-archaeology,mini,deepseek,2,1,5,7273,9.2,log-archaeology-mini-deepseek-r2.jsonl
1788194866,log-archaeology,mini,deepseek,3,1,5,7334,8.8,log-archaeology-mini-deepseek-r3.jsonl
1788194875,kernel-quiz,full,deepseek,1,1,9,76026,27.5,kernel-quiz-full-deepseek-r1.jsonl
1788194903,kernel-quiz,full,deepseek,2,1,12,107338,26.7,kernel-quiz-full-deepseek-r2.jsonl
1788194929,kernel-quiz,full,deepseek,3,1,10,77242,28.4,kernel-quiz-full-deepseek-r3.jsonl
1788194958,kernel-quiz,nodigest,deepseek,1,1,9,74243,25.7,kernel-quiz-nodigest-deepseek-r1.jsonl
1788194984,kernel-quiz,nodigest,deepseek,2,1,7,52714,24.6,kernel-quiz-nodigest-deepseek-r2.jsonl
1788195008,kernel-quiz,nodigest,deepseek,3,1,11,78965,21.6,kernel-quiz-nodigest-deepseek-r3.jsonl
1788195030,kernel-quiz,full,ds-16k,1,1,7,67843,24.5,kernel-quiz-full-ds-16k-r1.jsonl
1788195054,kernel-quiz,full,ds-16k,2,1,9,85934,25.5,kernel-quiz-full-ds-16k-r2.jsonl
1788195080,kernel-quiz,full,ds-16k,3,1,8,69732,20.2,kernel-quiz-full-ds-16k-r3.jsonl
1788195100,kernel-quiz,nodigest,ds-16k,1,1,11,91939,22.0,kernel-quiz-nodigest-ds-16k-r1.jsonl
1788195122,kernel-quiz,nodigest,ds-16k,2,1,8,68064,19.1,kernel-quiz-nodigest-ds-16k-r2.jsonl
1788195142,kernel-quiz,nodigest,ds-16k,3,1,7,60671,17.3,kernel-quiz-nodigest-ds-16k-r3.jsonl
1788195159,kernel-quiz,full,ds-8k,1,1,11,99729,33.6,kernel-quiz-full-ds-8k-r1.jsonl
1788195193,kernel-quiz,full,ds-8k,2,1,11,94346,30.2,kernel-quiz-full-ds-8k-r2.jsonl
1788195223,kernel-quiz,full,ds-8k,3,1,10,81298,26.1,kernel-quiz-full-ds-8k-r3.jsonl
1788195249,kernel-quiz,nodigest,ds-8k,1,1,9,74875,33.1,kernel-quiz-nodigest-ds-8k-r1.jsonl
1788195282,kernel-quiz,nodigest,ds-8k,2,1,10,84793,38.7,kernel-quiz-nodigest-ds-8k-r2.jsonl
1788195321,kernel-quiz,nodigest,ds-8k,3,1,8,75463,31.0,kernel-quiz-nodigest-ds-8k-r3.jsonl
1788195352,kernel-quiz,full,ds-4k,1,0,4,0,15.7,kernel-quiz-full-ds-4k-r1.jsonl
1788195368,kernel-quiz,full,ds-4k,2,1,14,163479,83.7,kernel-quiz-full-ds-4k-r2.jsonl
1788195452,kernel-quiz,full,ds-4k,3,1,11,71357,34.9,kernel-quiz-full-ds-4k-r3.jsonl
1788195487,kernel-quiz,nodigest,ds-4k,1,1,26,637576,171.4,kernel-quiz-nodigest-ds-4k-r1.jsonl
1788195658,kernel-quiz,nodigest,ds-4k,2,0,51,2005865,178.1,kernel-quiz-nodigest-ds-4k-r2.jsonl
1788195836,kernel-quiz,nodigest,ds-4k,3,1,24,448048,107.2,kernel-quiz-nodigest-ds-4k-r3.jsonl
1788195943,kernel-quiz,full,ds-2k,1,1,15,177361,63.1,kernel-quiz-full-ds-2k-r1.jsonl
1788196007,kernel-quiz,full,ds-2k,2,1,15,185793,92.8,kernel-quiz-full-ds-2k-r2.jsonl
1788196099,kernel-quiz,full,ds-2k,3,1,15,152503,62.7,kernel-quiz-full-ds-2k-r3.jsonl
1788196162,kernel-quiz,nodigest,ds-2k,1,0,69,2017545,165.6,kernel-quiz-nodigest-ds-2k-r1.jsonl
1788196328,kernel-quiz,nodigest,ds-2k,2,1,26,559015,116.7,kernel-quiz-nodigest-ds-2k-r2.jsonl
1788196445,kernel-quiz,nodigest,ds-2k,3,1,29,515041,139.1,kernel-quiz-nodigest-ds-2k-r3.jsonl
1788197313,kernel-census,full,deepseek,1,1,7,28246,17.0,kernel-census-full-deepseek-r1.jsonl
1788197330,kernel-census,full,deepseek,2,1,15,95288,36.7,kernel-census-full-deepseek-r2.jsonl
1788197366,kernel-census,full,deepseek,3,1,9,45976,24.3,kernel-census-full-deepseek-r3.jsonl
1788197391,kernel-doc,full,deepseek,1,1,72,3080555,553.6,kernel-doc-full-deepseek-r1.jsonl
1788197945,kernel-doc,full,deepseek,2,1,79,2733038,454.4,kernel-doc-full-deepseek-r2.jsonl
1788198399,kernel-doc,full,deepseek,3,1,79,2195759,319.6,kernel-doc-full-deepseek-r3.jsonl
1788198719,kernel-unwrap,full,deepseek,1,1,7,26177,17.3,kernel-unwrap-full-deepseek-r1.jsonl
1788198736,kernel-unwrap,full,deepseek,2,1,8,34270,20.9,kernel-unwrap-full-deepseek-r2.jsonl
1788198757,kernel-unwrap,full,deepseek,3,1,7,28437,19.7,kernel-unwrap-full-deepseek-r3.jsonl
1788198777,kernel-deps,full,deepseek,1,1,7,18774,11.3,kernel-deps-full-deepseek-r1.jsonl
1788198788,kernel-deps,full,deepseek,2,1,8,24194,15.1,kernel-deps-full-deepseek-r2.jsonl
1788198803,kernel-deps,full,deepseek,3,1,7,20184,10.2,kernel-deps-full-deepseek-r3.jsonl
1788198814,kernel-bigfile,full,deepseek,1,1,6,18369,9.0,kernel-bigfile-full-deepseek-r1.jsonl
1788198823,kernel-bigfile,full,deepseek,2,1,6,20170,11.9,kernel-bigfile-full-deepseek-r2.jsonl
1788198835,kernel-bigfile,full,deepseek,3,1,6,19863,13.4,kernel-bigfile-full-deepseek-r3.jsonl
1788198848,kernel-census,nodigest,deepseek,1,1,8,44380,28.0,kernel-census-nodigest-deepseek-r1.jsonl
1788198876,kernel-census,nodigest,deepseek,2,1,11,68496,27.0,kernel-census-nodigest-deepseek-r2.jsonl
1788198903,kernel-census,nodigest,deepseek,3,1,12,65863,34.8,kernel-census-nodigest-deepseek-r3.jsonl
1788198938,kernel-doc,nodigest,deepseek,1,1,95,3028969,435.8,kernel-doc-nodigest-deepseek-r1.jsonl
1788199374,kernel-doc,nodigest,deepseek,2,0,61,1657114,273.3,kernel-doc-nodigest-deepseek-r2.jsonl
1788199648,kernel-doc,nodigest,deepseek,3,0,120,0,301.7,kernel-doc-nodigest-deepseek-r3.jsonl
1788199949,kernel-unwrap,nodigest,deepseek,1,1,5,11702,8.9,kernel-unwrap-nodigest-deepseek-r1.jsonl
1788199958,kernel-unwrap,nodigest,deepseek,2,1,7,23642,16.8,kernel-unwrap-nodigest-deepseek-r2.jsonl
1788199975,kernel-unwrap,nodigest,deepseek,3,1,6,26450,25.1,kernel-unwrap-nodigest-deepseek-r3.jsonl
1788200000,kernel-deps,nodigest,deepseek,1,1,6,16262,10.5,kernel-deps-nodigest-deepseek-r1.jsonl
1788200011,kernel-deps,nodigest,deepseek,2,1,7,21300,12.7,kernel-deps-nodigest-deepseek-r2.jsonl
1788200024,kernel-deps,nodigest,deepseek,3,1,7,21652,12.4,kernel-deps-nodigest-deepseek-r3.jsonl
1788200036,kernel-bigfile,nodigest,deepseek,1,1,7,20835,10.4,kernel-bigfile-nodigest-deepseek-r1.jsonl
1788200046,kernel-bigfile,nodigest,deepseek,2,1,6,17314,10.0,kernel-bigfile-nodigest-deepseek-r2.jsonl
1788200057,kernel-bigfile,nodigest,deepseek,3,1,6,17031,8.9,kernel-bigfile-nodigest-deepseek-r3.jsonl
1788201344,fix-add,full,qwen,1,1,5,10433,27.2,fix-add-full-qwen-r1.jsonl
1788201371,fix-add,full,qwen,2,1,5,10620,11.7,fix-add-full-qwen-r2.jsonl
1788201383,fix-add,full,qwen,3,1,5,10139,10.1,fix-add-full-qwen-r3.jsonl
1788201393,fizzbuzz-arg,full,qwen,1,1,6,16837,22.5,fizzbuzz-arg-full-qwen-r1.jsonl
1788201416,fizzbuzz-arg,full,qwen,2,1,7,21224,26.5,fizzbuzz-arg-full-qwen-r2.jsonl
1788201442,fizzbuzz-arg,full,qwen,3,1,7,19952,24.2,fizzbuzz-arg-full-qwen-r3.jsonl
1788201466,debug-crash,full,qwen,1,1,5,10222,9.3,debug-crash-full-qwen-r1.jsonl
1788201476,debug-crash,full,qwen,2,1,6,12821,11.6,debug-crash-full-qwen-r2.jsonl
1788201487,debug-crash,full,qwen,3,1,6,12105,10.3,debug-crash-full-qwen-r3.jsonl
1788201498,fix-mean,full,qwen,1,1,7,16921,17.3,fix-mean-full-qwen-r1.jsonl
1788201515,fix-mean,full,qwen,2,1,6,12795,12.7,fix-mean-full-qwen-r2.jsonl
1788201528,fix-mean,full,qwen,3,1,6,12961,18.1,fix-mean-full-qwen-r3.jsonl
1788201546,rename-across-files,full,qwen,1,1,9,20455,16.9,rename-across-files-full-qwen-r1.jsonl
1788201563,rename-across-files,full,qwen,2,1,8,18528,16.7,rename-across-files-full-qwen-r2.jsonl
1788201580,rename-across-files,full,qwen,3,1,5,10565,8.5,rename-across-files-full-qwen-r3.jsonl
1788201588,write-todo-cli,full,qwen,1,1,21,155219,103.5,write-todo-cli-full-qwen-r1.jsonl
1788201692,write-todo-cli,full,qwen,2,1,16,116145,105.5,write-todo-cli-full-qwen-r2.jsonl
1788201797,write-todo-cli,full,qwen,3,1,11,60377,60.4,write-todo-cli-full-qwen-r3.jsonl
1788201858,fix-sort,full,qwen,1,1,6,16508,24.9,fix-sort-full-qwen-r1.jsonl
1788201883,fix-sort,full,qwen,2,1,5,11129,38.4,fix-sort-full-qwen-r2.jsonl
1788201921,fix-sort,full,qwen,3,1,10,31107,38.6,fix-sort-full-qwen-r3.jsonl
1788201960,add-logging,full,qwen,1,1,4,8582,12.5,add-logging-full-qwen-r1.jsonl
1788201972,add-logging,full,qwen,2,1,10,29715,44.3,add-logging-full-qwen-r2.jsonl
1788202017,add-logging,full,qwen,3,1,5,11008,13.5,add-logging-full-qwen-r3.jsonl
1788202030,kernel-quiz,full,qwen,1,1,16,133194,107.7,kernel-quiz-full-qwen-r1.jsonl
1788202138,kernel-quiz,full,qwen,2,1,11,86184,23.7,kernel-quiz-full-qwen-r2.jsonl
1788202162,kernel-quiz,full,qwen,3,1,16,120320,75.6,kernel-quiz-full-qwen-r3.jsonl
1788202238,kernel-quiz,nodigest,qwen,1,1,14,109900,43.6,kernel-quiz-nodigest-qwen-r1.jsonl
1788202281,kernel-quiz,nodigest,qwen,2,1,22,163904,54.4,kernel-quiz-nodigest-qwen-r2.jsonl
1788202336,kernel-quiz,nodigest,qwen,3,1,11,86225,27.0,kernel-quiz-nodigest-qwen-r3.jsonl
